PUBLISHDATE,VERSION,ZONE,PNODEID,PNODENAME,PNODETYPE,PRICINGTYPE,H1,H2,H2DST,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
03-11-2016,0,null,33092313,CHICAGO HUB,AGGREGATE,TotalLMP,13.494075,14.764653,,14.47972,13.168046,13.79975,19.661275,22.587521,25.180863,23.271885,23.604714,31.715441,36.619515,30.973218,25.85313,22.586626,21.013049,19.993322,16.978495,31.249592,23.069624,24.179376,22.622587,22.273439,17.708736
03-12-2016,0,null,33092313,CHICAGO HUB,AGGREGATE,TotalLMP,16.336441,12.622404,,15.381696,13.168973,15.725208,18.070953,18.445607,27.219821,60.947338,29.159419,26.62442,25.429264,24.334271,21.202419,22.087623,20.585447,22.115743,20.703607,27.083391,25.378036,23.7128,21.30706,18.682552,17.616225
03-13-2016,0,null,33092313,CHICAGO HUB,AGGREGATE,TotalLMP,12.329957,13.579764,,,10.412771,9.996505,11.763038,9.223779,10.075231,14.266298,17.331336,15.269426,22.305103,34.612197,23.390537,21.587471,22.750714,24.680299,22.310953,19.523811,59.887052,25.402112,25.569503,18.703291,21.19135
03-14-2016,0,null,33092313,CHICAGO HUB,AGGREGATE,TotalLMP,16.879646,11.055083,,13.263187,15.219291,14.669706,18.286892,25.361891,30.326524,25.179159,25.679767,63.490437,24.662314,30.108819,79.866944,25.012567,24.746744,23.726093,22.538609,21.193933,43.792543,26.534552,43.688806,24.011366,21.729944
03-15-2016,0,null,33092313,CHICAGO HUB,AGGREGATE,TotalLMP,18.35381,18.710477,,16.594091,15.154254,16.454579,15.32269,14.481338,21.827647,22.100284,23.702388,24.388225,23.517736,25.645366,24.416744,21.476003,19.639306,20.419366,20.41965,14.242463,18.424817,25.629205,22.287546,17.442417,18.683307
03-16-2016,0,null,33092313,CHICAGO HUB,AGGREGATE,TotalLMP,12.694683,9.819281,,8.563962,9.209438,6.238227,5.650895,9.099848,24.021221,22.776464,21.722731,21.60045,21.879917,22.051472,22.999413,22.013667,21.041946,21.056998,20.862375,16.289841,21.853441,24.685396,22.350551,18.303306,14.913853
03-17-2016,0,null,33092313,CHICAGO HUB,AGGREGATE,TotalLMP,12.969409,11.684905,,11.528224,11.227676,13.591572,15.15778,22.482611,33.120034,20.847765,22.776151,22.746299,18.504639,19.880269,88.074514,73.708038,41.650769,24.861173,20.056418,18.086964,25.920176,26.368992,24.433306,20.670576,20.983417
03-18-2016,0,null,33092313,CHICAGO HUB,AGGREGATE,TotalLMP,15.461516,13.392425,,14.900025,20.666089,13.129956,18.167335,23.988106,22.658565,23.295913,23.865186,21.743468,21.150327,21.326342,22.87492,21.647454,22.049068,20.996105,17.470668,15.699216,20.822653,21.767824,20.449987,21.45775,19.018935
02-17-2017,0,null,33092313,CHICAGO HUB,AGGREGATE,TotalLMP,21.234981,21.075659,,19.815763,23.189063,23.189336,21.740131,47.553659,37.42093,30.130667,28.722382,24.763115,23.181263,23.58227,21.915648,21.265951,20.627976,21.389458,21.482288,20.814185,23.438139,19.349756,20.688124,20.093916,17.652448
02-18-2017,0,null,33092313,CHICAGO HUB,AGGREGATE,TotalLMP,20.508286,15.66271,,6.117598,10.648621,19.314456,14.157864,26.689517,32.735607,28.071678,28.108285,26.827203,23.922165,24.177424,23.820121,21.696032,21.66661,22.737603,25.571099,49.027799,30.472507,23.851869,21.962654,21.895395,21.00941
02-19-2017,0,null,33092313,CHICAGO HUB,AGGREGATE,TotalLMP,20.541988,20.460151,,20.173366,20.977322,23.013046,21.466201,21.686631,21.037532,22.374138,22.392507,22.900907,22.41227,22.235055,21.534717,20.97918,20.94712,21.041487,22.282746,32.934614,27.918005,22.241204,21.157249,20.159426,19.421054
02-20-2017,0,null,33092313,CHICAGO HUB,AGGREGATE,TotalLMP,46.540019,11.41663,,-2.132349,18.588194,8.150664,20.781708,25.485623,24.667532,26.421196,27.511828,26.991754,24.553812,21.710938,22.294034,21.339027,22.766256,23.518256,23.892242,28.723605,28.483768,33.440954,26.589916,20.860656,20.988152
02-21-2017,0,null,33092313,CHICAGO HUB,AGGREGATE,TotalLMP,20.010448,19.71784,,19.328581,20.142048,19.806448,20.388818,23.881042,33.101767,50.063815,27.06759,27.774465,25.170731,24.622257,24.485339,22.501709,24.59805,25.959028,26.418465,27.315102,56.988929,25.457887,22.157175,20.283338,19.587738
